timestamp,Open,High,Low,Close,Volume,datetime
1.64E+12,62405.07,62410.72,62405.07,62410.55,0.47611,03-11-2021 16:13:08
1.64E+12,62410.71,62410.73,62405.08,62410.73,0.49997,03-11-2021 16:13:09
1.64E+12,62411.39,62416.49,62411.38,62414.1,0.18559,03-11-2021 16:13:10
1.64E+12,62414.11,62451.81,62414.11,62431.77,19.94663,03-11-2021 16:13:11
1.64E+12,62431.78,62441.56,62418.84,62418.85,1.91706,03-11-2021 16:13:12
1.64E+12,62418.85,62425.1,62418.84,62422.11,0.72598,03-11-2021 16:13:13
1.64E+12,62422.11,62422.12,62418.88,62422.1,0.83244,03-11-2021 16:13:14
1.64E+12,62426.41,62426.41,62411.63,62411.63,0.24409,03-11-2021 16:13:15
1.64E+12,62411.64,62460.99,62411.64,62437.32,6.63687,03-11-2021 16:13:16
1.64E+12,62437.31,62437.32,62426.88,62434.19,1.3483,03-11-2021 16:13:17
1.64E+12,62434.2,62448.33,62434.19,62448.33,1.00688,03-11-2021 16:13:18
1.64E+12,62440.85,62484.46,62440.85,62455.01,3.49551,03-11-2021 16:13:19
1.64E+12,62455.01,62459.78,62455,62459.78,0.71933,03-11-2021 16:13:20
1.64E+12,62455,62455.21,62455,62455.21,0.22258,03-11-2021 16:13:21
1.64E+12,62455.21,62459.73,62454.98,62456.57,0.17278,03-11-2021 16:13:22
1.64E+12,62456.57,62467.15,62456.57,62462.85,0.46919,03-11-2021 16:13:23
1.64E+12,62462.84,62462.85,62462.84,62462.84,0.10462,03-11-2021 16:13:24
1.64E+12,62462.85,62462.85,62462.84,62462.84,0.09914,03-11-2021 16:13:25
1.64E+12,62462.84,62462.84,62462.84,62462.84,0.15694,03-11-2021 16:13:26
1.64E+12,62462.85,62462.85,62462.84,62462.85,0.02479,03-11-2021 16:13:27
1.64E+12,62462.84,62473.12,62462.84,62463.81,1.26422,03-11-2021 16:13:28
1.64E+12,62463.76,62471.62,62460,62465.38,0.71666,03-11-2021 16:13:29
1.64E+12,62471.62,62471.62,62465.38,62471.62,0.37256,03-11-2021 16:13:30
1.64E+12,62471.63,62484.42,62471.63,62484.41,1.39614,03-11-2021 16:13:31
1.64E+12,62484.41,62485.1,62471.63,62471.67,3.86746,03-11-2021 16:13:32
1.64E+12,62483.49,62483.49,62480.78,62480.79,0.31903,03-11-2021 16:13:33
1.64E+12,62480.79,62484.35,62478.01,62478.01,0.16955,03-11-2021 16:13:34
1.64E+12,62476.79,62478,62473.33,62476.96,0.1322,03-11-2021 16:13:35
1.64E+12,62473.33,62498,62473.33,62497.99,2.75989,03-11-2021 16:13:36
1.64E+12,62497.99,62497.99,62481.28,62487.91,0.39912,03-11-2021 16:13:37
1.64E+12,62487.92,62487.92,62467.37,62467.37,0.91652,03-11-2021 16:13:38
1.64E+12,62467.36,62470.64,62460.34,62467.42,0.50373,03-11-2021 16:13:39
1.64E+12,62467.42,62486.87,62465.98,62473.34,2.92426,03-11-2021 16:13:40
1.64E+12,62473.34,62494.29,62473.33,62490,3.43964,03-11-2021 16:13:41
1.64E+12,62490,62490.01,62476.1,62476.1,0.70746,03-11-2021 16:13:42
1.64E+12,62476.1,62489.09,62476.1,62481.15,0.16645,03-11-2021 16:13:43
1.64E+12,62481.15,62486.95,62474.67,62474.67,1.32656,03-11-2021 16:13:44
1.64E+12,62474.68,62494.85,62474.68,62475.89,2.21901,03-11-2021 16:13:45
1.64E+12,62475.89,62475.89,62472.01,62475.38,0.0932,03-11-2021 16:13:46
1.64E+12,62475.38,62475.39,62475.37,62475.39,0.10131,03-11-2021 16:13:47
1.64E+12,62477.04,62565.23,62477.04,62523.79,68.22023,03-11-2021 16:13:48
1.64E+12,62523.79,62523.79,62500.01,62500.01,1.60905,03-11-2021 16:13:49
1.64E+12,62500.01,62510.05,62500.01,62503.18,0.66257,03-11-2021 16:13:50
1.64E+12,62503.19,62503.19,62470.63,62476.53,12.12247,03-11-2021 16:13:51
1.64E+12,62476.53,62476.54,62470.64,62476.21,0.9518,03-11-2021 16:13:52
1.64E+12,62476.21,62479.5,62470.66,62473.64,0.72188,03-11-2021 16:13:53
1.64E+12,62473.64,62495.39,62473.64,62487.82,0.49856,03-11-2021 16:13:54
1.64E+12,62487.82,62517.39,62487.81,62511,0.85026,03-11-2021 16:13:55
1.64E+12,62510.92,62510.92,62495.01,62499.01,1.05862,03-11-2021 16:13:56
1.64E+12,62499.01,62504.92,62495,62495,1.01204,03-11-2021 16:13:57
1.64E+12,62495,62495.01,62495,62495.01,0.05527,03-11-2021 16:13:58
1.64E+12,62495.01,62499.81,62492.08,62499.81,0.15217,03-11-2021 16:13:59
1.64E+12,62499.8,62499.8,62493.57,62496.26,0.35071,03-11-2021 16:14:00
1.64E+12,62493.55,62500.1,62493.55,62500.1,0.06647,03-11-2021 16:14:01
1.64E+12,62493.83,62499.55,62493.83,62499.55,0.4622,03-11-2021 16:14:02
1.64E+12,62499.55,62502.65,62499.55,62502.64,0.3708,03-11-2021 16:14:03
1.64E+12,62502.64,62502.65,62499,62499,0.10532,03-11-2021 16:14:04
1.64E+12,62499.01,62499.01,62487,62487,0.58105,03-11-2021 16:14:05
1.64E+12,62487,62487.05,62481.22,62487.05,3.79648,03-11-2021 16:14:06
1.64E+12,62487.04,62487.05,62470.73,62470.73,1.50682,03-11-2021 16:14:07
1.64E+12,62470.72,62470.73,62470.63,62470.64,0.2966,03-11-2021 16:14:08
1.64E+12,62470.64,62470.64,62463.86,62464.37,0.60879,03-11-2021 16:14:09
1.64E+12,62463.86,62464.39,62462.93,62462.93,1.37442,03-11-2021 16:14:10
1.64E+12,62462.93,62464.39,62462.93,62464.38,0.18203,03-11-2021 16:14:11
1.64E+12,62465.58,62466.78,62463.05,62463.05,0.082,03-11-2021 16:14:12
1.64E+12,62463.05,62463.05,62462.93,62462.93,0.01887,03-11-2021 16:14:13
